Pakistan,Islamabad,157935100,796095
Palau,Melekeok,19949,459
Panama,Panama City,3231502,75517
New_Guinea,Port Moresby,5887138,462840
Paraguay,Asunción,6158259,406752
Peru,Lima,27968240,1285216
Philippines,Manila,83054480,300000
Pitcairn_Islands,Adamstown,57,47
Poland,Warsaw,38529560,312685
Portugal,Lisbon,10494500,91982
Puerto_Rico,San Juan,3548000,9104
Qatar,Doha,812842,11000
Republic_Of_Congo,Brazzaville,3998904,342000
Romania,Bucharest,21711470,238391
Russia,Moscow,143201600,17098242
Rwanda,Kigali,9037690,26338
Saint_Kitts,Basseterre,42696,261
Saint_Lucia,Castries,160765,539
Saint_Vincent_and_the_Grenadines,Kingstown,119051,388
Samoa,Apia,184984,2831
San_Marino,San Marino,28117,61
Sao_Tome,Sao Tome,192993,964
Saudi_Arabia,Riyadh,24573100,2149690
Senegal,Dakar,11658170,196722
Serbia,Belgrade,9396411,88361
Seychelles,Victoria,80654,455
Sierra_Leone,Freetown,5525478,71740
Singapore,Singapore,4483900,699
Slovakia,Bratislava,5400908,49033
Slovenia,Ljubljana,1966814,20256
Solomon_Islands,Honiara,477742,28896
Somalia,Mogadishu,8227826,637657
Somaliland,Hargeisa,3500000,137600
South_Africa,Bloemfontein,47431830,1221037
South_Georgia_And_The_South_Sandwich_Islands,Tskhinvali,70000,3900
Spain,Madrid,43064190,505992
Sri_Lanka,Kotte,20742910,65610
Sudan,Khartoum,36232950,2505813
Suriname,Paramaribo,449238,163820
Swaziland,Lobamba,1032438,17364
Sweden,Stockholm,9041262,449964
Switzerland,Bern,7252331,41284
Syria,Damascus,19043380,185180
Taiwan,Taipei,22894384,35980
Tajikistan,Dushanbe,6506980,143100
Tanzania,Dar es Salaam,38328810,945087
Thailand,Bangkok,64232760,513115
Tibet,Lhasa,3030000,2500000
Timor_Leste,Dili,1178000,14874
Togo,Lomé,6145004,56785
Tonga,Nuku'alofa,102311,747
Transnistria,Tiraspol,555347,4163
Trinidad_Tobago,Port of Spain,1305236,5130
Tunisia,Tunis,10102470,163610
